"Comment","Designator","Footprint","JLCPCB Part #"
"0.1uF/50V/20%/X5R/C0805","C1,C2,C3","C_0805_2012Metric","C286511"
"LED_GREEN","D2,D4","LED_0805_2012Metric","C2297"
"LED_RED","D1","LED_0805_2012Metric","C84256"
"SM6T12A","D3","D_SMB","C718481"
"Conn_01x19","J1,J2","PinSocket_1x19_P2.54mm_Vertical","C319202"
"Screw_Terminal_01x02","J3","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","C691859"
"HF32F-G/005-HS","K1","HF32F-G","C74541"
"BC817","Q1,Q2","SOT-23","C118725"
"10K/10%/R0805","R3,R4,R5,R6,R9","R_0805_2012Metric","C17414"
"1K/10%/R0805","R7,R8","R_0805_2012Metric","C269744"
"523R/20%/R0805","R1,R2,R10","R_0805_2012Metric","C218615"
"SW_Push","SW1","SW_Push_1P1T_NO_6x6mm_H9.5mm","C2834922"
"74LVC1G79","U1","SOT-23-5","C42878"
